iter	Passed	Remaining
925	6556	523
926	6563	516
927	6569	509
928	6576	502
929	6583	495
930	6591	488
931	6598	481
932	6605	474
933	6613	467
934	6621	460
935	6629	453
936	6637	446
937	6644	439
938	6651	432
939	6659	425
940	6665	417
941	6672	410
942	6678	403
943	6685	396
944	6692	389
945	6700	382
946	6707	375
947	6714	368
948	6722	361
949	6728	354
950	6736	347
951	6743	339
952	6750	332
953	6757	325
954	6763	318
955	6771	311
956	6778	304
957	6785	297
958	6792	290
959	6799	283
960	6806	276
961	6813	269
962	6820	262
963	6827	254
964	6836	247
965	6843	240
966	6850	233
967	6857	226
968	6864	219
969	6871	212
970	6877	205
971	6885	198
972	6891	191
973	6898	184
974	6904	177
975	6911	169
976	6919	162
977	6925	155
978	6932	148
979	6940	141
980	6947	134
981	6954	127
982	6960	120
983	6968	113
984	6974	106
985	6981	99
986	6988	92
987	6994	84
988	7002	77
989	7008	70
990	7015	63
991	7023	56
992	7030	49
993	7038	42
994	7047	35
995	7055	28
996	7062	21
997	7068	14
998	7075	7
999	7084	0
